Green Day,BoBD,Boulevard of Broken Dreams
Queen,BR,Bohemian Rhapsody
Eagles,HC,Hotel California
Ed Sheeran,SoY,Shape of You
Santana,S,Smooth
Adele,RitD,Rolling in the Deep
Guns N' Roses,SCoM,Sweet Child of Mine
ABBA,DQ,Dancing Queen
The Beatles,HJ,Hey Jude
Bon Jovi,LoaP,Living on a Prayer
Bruno Mars,UF,Uptown Funk
Leonard Cohen,H,Hallelujah
Nirvana,SLTS,Smells Like Teen Spirit
Adele,SLY,Someone Like You
Beyonce,CiL,Crazy in Love
John Lennon,I,Imagine
Earth,Wind&Fire,BW,Boogie Wonderland
Oasis,W,Wonderwall
Whitney Houston,IWALY,I Will Always Love You
Journey,DSB,Don't stop believing
Michael Jackson,BJ,Billie Jean
Queen,WWRY,We Will Rock You
AC/DC,BiB,Back in Black
Coldplay,VLV,Viva La Vida
Michael Jackson,T,Thriller
The Police,EBYT,Every Breath You Take
The Beatles,IWtHYH,I Want to Hold Your Hand
Lynyrd Skynyrd,SHA,Sweet Home Alabama
Billie Eilish,BG,Bad Guy
Queen,DSMN,Don't Stop Me Now
Simon & Garfunkel,TSoS,The Sound of Silence
The Rolling Stones,PIB,Paint It Black
Johhny Cash,H,Hurt
Cyndi Lauper,TAT,Time After Time
Prince,PR,Purple Rain
Pink Floyd,WYWH,Wish You Were Here
Queen,UP,Under Pressure
Lead Zeppelin,StH,Stairway to Heaven
Smash Mouth,AS,All Star